PoolIndex,Label,Architecture,NORAD_CAT_ID,ObjectName,X_ECEF_m,Y_ECEF_m,Z_ECEF_m,Azimuth_deg,Elevation_deg,SlantRange_km,Mask_deg,Visible
1,HAPS1,HAPS,,HAPS1,4300163.51144685,-4038986.23432267,-2467878.39856427,45.0065788541189,79.9999999999987,20.2973898641975,15,1
2,HAPS2,HAPS,,HAPS2,4307453.72860873,-4015855.76363064,-2492621.1302015,135.070111207331,30.0000000000005,39.7939362087586,15,1
3,HAPS3,HAPS,,HAPS3,4274112.74426637,-4051322.67138652,-2492621.1302015,224.92988879267,30.0000000000005,39.7939362087597,15,1
4,HAPS4,HAPS,,HAPS4,4285517.38425559,-4070008.46879583,-2442427.32388745,314.915212395114,24.9999999999995,46.9645667202366,15,1
5,LEO1,LEO,65175,STARLINK-34949,4566254.80341694,-4388060.17914832,-2609976.99653777,299.735833397304,80.4062965591807,480.878513591036,5,1
6,LEO2,LEO,66864,STARLINK-36070,4844301.48152959,-4263800.69839608,-2334724.2682029,31.9446143440148,49.9606962091958,621.045683425491,5,1
7,LEO3,LEO,65348,STARLINK-34859,4924622.62050169,-3989549.97443109,-2584206.45832634,82.800130821656,43.9635267478038,652.878450010093,5,1
8,LEO4,LEO,59340,STARLINK-31562,4351028.67517544,-4802568.74448212,-2258188.71601828,308.529515675035,34.4189453674273,804.269824333788,5,1
9,LEO5,LEO,67736,STARLINK-36317,4130415.00746074,-4536655.0829438,-3045706.60810663,226.913263585456,34.2779778058556,789.392601949281,5,1
10,LEO6,LEO,59960,STARLINK-31856,5145622.06446001,-3756021.08842177,-2502158.98630574,80.2813359948084,27.8539778863297,903.944909703246,5,1
11,LEO7,LEO,65279,STARLINK-35023,4274574.60318272,-5056804.57193685,-2053046.76619125,310.591959585665,25.910177411834,1107.74212808274,5,1
12,LEO8,LEO,48482,STARLINK-2525,3903411.88303337,-4983803.98648582,-2623406.717391,269.896903505477,23.1946445285598,1041.86935556647,5,1
13,MEO1,MEO,62362,O3B MPOWER F7,10815350.7856485,-9561264.74365029,15422.7597012526,4.50335864318567,50.8896244417758,8911.57498945385,5,1
14,MEO2,MEO,40081,O3B FM6,9780980.21692632,-10622739.7291548,11483.2796854167,349.456511265238,50.4747772802389,8934.77359425547,5,1
15,MEO3,MEO,44115,O3B FM18,13244193.7212157,-5750780.73884459,12881.8165393857,42.7778092776408,40.5135556648317,9453.87899981025,5,1
16,MEO4,MEO,43231,O3B FM15,4372977.17841781,-13763362.5799808,11174.382134299,304.838039249605,31.4629433849282,10045.5482123742,5,1
17,MEO5,MEO,43234,O3B FM13,14437355.4356822,320381.211186824,5818.10497403325,68.4800639158015,15.9690137846431,11317.2582190465,5,1
18,MEO6,MEO,40080,O3B FM7,14434937.5425288,319027.448683211,6785.46677883173,68.4721792546663,15.966575544296,11314.7800522445,5,1
19,MEO7,MEO,40079,O3B FM3,-1468383.73661374,-14371220.7992362,7263.89949973982,286.500521103731,8.11451396242544,12090.7024046762,5,1
20,GEO1,GEO,41589,EUTE 117W B,-19144951.8262545,-37567141.0381598,-939.4318723926,276.427549458435,6.27790923471064,40986.5351338316,5,1
21,GEO2,GEO,41904,STARONE D1,4394800.50544468,-41932687.6145761,-3851.03023687049,294.207831556629,37.3455227496189,37984.9731398669,5,1
22,GEO3,GEO,42692,SGDC,10983061.3201966,-40707887.4674777,376.40026686869,302.171548259795,45.5833905310938,37368.267443763,5,1
23,GEO4,GEO,43562,TELSTAR 19V,19130061.0304763,-37565793.9925773,-19072.0040968963,317.143220618637,55.2029571956807,36758.4167144551,5,1
24,GEO5,GEO,43175,SES 14,28482690.7078701,-31084476.7632199,8378.51928851002,349.11400001101,62.8111617872626,36383.2948543781,5,1
25,GEO6,GEO,43228,HISPASAT 30W-6,36494011.2200715,-21086045.4462184,26639.5544373358,31.1297501397004,59.335087591415,36532.8900917548,5,1
26,GEO7,GEO,38087,SES 4,39086346.7217081,-15789629.7320438,24474.6420362004,44.9912353944173,54.0922879744417,36819.9953476362,5,1
